Timestamp, Client ID, Message Received
178, 1, $R130
179, 0, $R177
179, 1, $R131
180, 0, $R178
180, 1, $R132
181, 0, $R179
181, 1, $R133
182, 0, $R180
182, 1, $R134
183, 0, $R181
183, 1, $R135
184, 0, $R182
184, 1, $R136
185, 0, $R183
185, 1, $R137
186, 0, $R184
186, 1, $R138
187, 0, $R185
187, 1, $R139
188, 0, $R186
188, 1, $R140
189, 0, $R187
189, 1, $R141
190, 0, $R188
190, 1, $R142
191, 0, $R189
191, 1, $R143
192, 0, $R190
192, 1, $R144
193, 0, $R191
193, 1, $R145
194, 0, $R192
194, 1, $R146
195, 0, $R193
195, 1, $R147
196, 0, $R194
196, 1, $R148
197, 0, $R195
197, 1, $R149
198, 0, $R196
198, 1, $R150
199, 0, $R197
199, 1, $R151
200, 0, $R198
200, 1, $R152
201, 0, $R199
201, 1, $R153
202, 0, $R200
202, 1, $R154
203, 0, $R201
203, 1, $R155
204, 0, $R202
204, 1, $R156
205, 0, $R203
205, 1, $R157
206, 0, $R204
206, 1, $R158
207, 0, $R205 $CHAR+stickman
207, 1, $R159
208, 0, $R206
208, 1, $R160
209, 0, $R207 $UPP+0+200+200+1+0+0 $UPP+0+200+190+1+0+0 $UPP+0+200+200+1+0+0
209, 1, $R161 $UPP+1+800+200+0+0+0
210, 0, $R208 $UPP+0+200+175+1+0+0 $UPP+0+200+190+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
210, 1, $R162 $UPP+1+800+190+0+0+0 $UPP+1+800+175+0+0+0
211, 0, $R209 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
211, 1, $R163 $UPP+1+800+175+0+0+0
212, 0, $R210 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
212, 1, $R164 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
213, 0, $R211 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
213, 1, $R165 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
214, 0, $R212 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
214, 1, $R166 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
215, 0, $R213 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
215, 1, $R167 $UPP+1+800+175+0+0+0
216, 0, $R214 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
216, 1, $R168 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
217, 0, $R215 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
217, 1, $R169 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
218, 0, $R216 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
218, 1, $R170 $UPP+1+800+175+0+0+0
219, 0, $R217 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
219, 1, $R171 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
220, 0, $R218 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
220, 1, $R172 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
221, 0, $R219 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
221, 1, $R173 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
222, 0, $R220 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
222, 1, $R174 $UPP+1+800+175+0+0+0
223, 0, $R221 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
223, 1, $R175 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
224, 0, $R222 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
224, 1, $R176 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
225, 0, $R223 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
225, 1, $R177 $UPP+1+800+175+0+0+0
226, 0, $R224 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
226, 1, $R178 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
227, 0, $R225 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
227, 1, $R179 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
228, 0, $R226 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
228, 1, $R180 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
229, 0, $R227 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
229, 1, $R181 $UPP+1+800+175+0+0+0 $UPP+1+800+175+0+0+0
230, 0, $R228 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
230, 1, $R182 $UPP+1+800+175+0+0+0
231, 0, $R229 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
231, 1, $R183 $UPP+1+785+175+0+0+0
232, 0, $R230 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
232, 1, $R184 $UPP+1+770+175+0+0+0 $UPP+1+755+175+0+0+0
233, 0, $R231 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
233, 1, $R185 $UPP+1+755+175+0+0+0 $UPP+1+755+175+0+0+0
234, 0, $R232 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
234, 1, $R186 $UPP+1+755+175+0+0+0 $UPP+1+755+175+0+0+0
235, 0, $R233 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
235, 1, $R187 $UPP+1+755+175+0+0+0
236, 0, $R234 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
236, 1, $R188 $UPP+1+740+175+0+0+0 $UPP+1+725+175+0+0+0
237, 0, $R235 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
237, 1, $R189 $UPP+1+740+175+1+0+0 $UPP+1+755+175+1+0+0
238, 0, $R236 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
238, 1, $R190 $UPP+1+755+175+1+3+0
239, 0, $R237 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
239, 1, $R191 $UPP+1+755+175+1+3+0 $UPP+1+770+175+1+0+0
240, 0, $R238 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
240, 1, $R192 $UPP+1+770+175+1+0+0
241, 0, $R239 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
241, 1, $R193 $UPP+1+770+175+1+0+0 $UPP+1+770+175+1+3+0
242, 0, $R240 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
242, 1, $R194 $UPP+1+770+175+1+3+0
