Timestamp, Message Sent, Execution Time
101, $ID+0 $R101 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0, 0.0005092620849609375
102, $ID+0 $R102 $UPP+0+200+175+1+0+0, 0.0010042190551757812
103, $ID+0 $R103 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0, 0.0015709400177001953
104, $ID+0 $R104 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0, 0.0009937286376953125
105, $ID+0 $R105 $UPP+0+200+175+1+0+0 $UPP+0+185+175+0+1+0, 0.0013928413391113281
106, $ID+0 $R106 $UPP+0+170+175+0+1+0, 0.0009970664978027344
107, $ID+0 $R107 $UPP+0+170+175+0+0+0 $UPP+0+170+175+0+0+0, 0.0
108, $ID+0 $R108 $UPP+0+170+175+0+0+0 $UPP+0+185+175+1+1+0, 0.0
109, $ID+0 $R109 $UPP+0+200+175+1+1+0, 0.0009968280792236328
110, $ID+0 $R110 $UPP+0+215+175+1+1+0 $UPP+0+215+175+1+0+0, 0.0010037422180175781
111, $ID+0 $R111 $QUIT, 0.0
